Date,Price,Open,High,Low,Vol,Change %
2023-02-07,2.9044,2.769,2.9106,2.7607,57.89K,4.90%
2023-02-06,2.7687,2.7844,2.8142,2.6653,56.84K,-0.24%
2023-02-03,2.7753,2.9061,2.9311,2.767,56.91K,-4.19%
2023-02-02,2.8967,2.9647,2.9775,2.8911,53.72K,-1.84%
2023-02-01,2.9511,3.1421,3.1502,2.9265,63.18K,-7.27%
2023-01-31,3.1823,3.1135,3.208,3.057,1.99K,2.30%
2023-01-30,3.1108,3.2816,3.292,3.1,19.72K,-4.74%
2023-01-27,3.2655,3.3974,3.4361,3.25,26.39K,-3.86%
2023-01-26,3.3965,3.3597,3.4269,3.3146,23.57K,1.05%
2023-01-25,3.3613,3.4598,3.5156,3.325,30.17K,-1.92%
2023-01-24,3.4272,3.5406,3.58,3.4134,32.10K,-3.48%
2023-01-23,3.5509,3.4731,3.5727,3.4615,32.34K,2.43%
2023-01-20,3.4668,3.3856,3.4828,3.3561,44.46K,2.69%
2023-01-19,3.3759,3.2539,3.3878,3.2115,45.01K,3.46%
2023-01-18,3.263,3.2765,3.3375,3.23,36.24K,0.37%
2023-01-17,3.251,3.2676,3.3025,3.2165,53.00K,-0.19%
2023-01-16,3.2573,3.2628,3.2788,3.2434,,-0.17%
2023-01-15,3.263,3.2763,3.2769,3.263,,0.22%
2023-01-13,3.2559,3.2241,3.2882,3.2037,44.31K,1.15%
2023-01-12,3.219,3.1926,3.2673,3.1672,51.91K,0.03%
2023-01-11,3.2179,3.1188,3.2488,3.0944,70.87K,2.62%
2023-01-10,3.1357,3.0389,3.1559,3.0099,60.64K,3.28%
2023-01-09,3.036,3.0054,3.1069,2.9949,49.94K,1.05%
2023-01-06,3.0045,2.9789,3.0536,2.952,41.60K,1.08%
2023-01-05,2.9723,3.0016,3.0669,2.92,55.07K,0.01%
2023-01-04,2.9719,3.0682,3.0912,2.9215,51.61K,-3.71%
2023-01-03,3.0865,3.2965,3.3322,3.0755,58.57K,-6.79%
2023-01-02,3.3112,3.3009,3.3184,3.2971,,-1.52%
2022-12-30,3.3622,3.3269,3.375,3.2619,2.42K,1.49%
2022-12-29,3.313,3.3568,3.3568,3.2433,15.08K,-1.92%
2022-12-28,3.3778,3.389,3.3937,3.227,17.55K,0.72%
2022-12-27,3.3537,3.2854,3.4051,3.2561,25.34K,1.33%
2022-12-26,3.3096,3.259,3.3096,3.2548,,2.95%
2022-12-23,3.2148,3.114,3.2529,3.0805,44.26K,3.86%
2022-12-22,3.0954,3.1511,3.183,3.0816,38.59K,-0.43%
